timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649806800000,49.227,46.97,51.066,45.49,51.573
1649807100000,49.443,47.01,51.15,45.806,51.426
1649807400000,49.316,47.199,51.08,45.846,50.956
1649807700000,49.019,47.103,50.806,45.623,50.943
1649808000000,49.213,47.129,50.813,45.689,50.822
1649808300000,49.306,47.233,50.813,45.816,50.676
1649808600000,49.216,47.189,50.749,45.939,50.543
1649808900000,48.98,47.313,50.583,45.713,50.62
1649809200000,48.916,47.359,50.516,45.933,50.939
1649809500000,49.36,47.513,50.923,46.086,50.956
1649809800000,49.527,47.783,51.099,46.309,50.836
1649810100000,49.313,47.699,50.93,46.273,50.68
1649810400000,49.233,47.746,50.88,46.126,50.85
1649810700000,50.006,47.963,51.379,46.383,51.11
1649811000000,50.096,48.286,51.596,46.74,50.906
1649811300000,49.92,48.179,51.373,46.934,50.844
1649811600000,50.156,48.036,51.349,46.727,50.996
1649811900000,51.64,48.676,51.93,48.541,53.039
1649812200000,51.01,48.731,51.955,48.744,51.496
1649812500000,50.703,47.81,51.09,46.66,50.6
1649812800000,49.75,46.6,50.043,46.186,49.716
1649813100000,49.017,45.72,49.343,45.943,48.806
1649813400000,48.563,45.086,48.85,45.709,48.183
1649813700000,48.486,44.856,48.62,45.586,47.823
1649814000000,48.186,44.669,48.541,45.303,47.51
1649814300000,48.113,44.303,48.296,45.183,47.306
1649814600000,47.696,43.95,48.216,44.56,46.866
1649814900000,47.433,43.573,48.323,44.099,46.713
1649815200000,47.179,43.25,48.413,43.793,46.599
1649815500000,46.741,43.626,48.213,43.533,46.739
1649815800000,46.562,43.429,47.536,43.406,46.666
1649816100000,46.41,43.559,47.183,43.106,46.369
1649816400000,46.241,43.366,46.999,43.262,46.206
1649816700000,45.976,43.372,46.843,43.416,46.286
1649817000000,46.003,43.419,46.906,43.613,46.399
1649817300000,46.013,43.7,46.666,43.713,46.365
1649817600000,46.046,43.803,46.609,44.016,46.296
1649817900000,46.33,43.6,46.883,44.18,46.013
1649818200000,46.166,43.616,46.72,43.765,45.853
1649818500000,45.949,43.58,46.496,43.276,45.46
1649818800000,45.824,43.553,46.392,43.186,45.269
1649819100000,45.879,43.693,46.536,43.389,45.299
1649819400000,45.889,43.723,46.596,43.546,45.306
1649819700000,45.963,43.543,46.489,43.666,45.4
1649820000000,46.046,43.806,46.456,43.6,45.59
1649820300000,46.163,43.966,46.57,43.369,45.689
1649820600000,46.08,44.183,46.286,43.44,45.772
1649820900000,46.066,44.22,46.406,43.599,45.866
1649821200000,46.16,44.293,46.663,44.041,46.156
1649821500000,46.386,44.533,46.416,43.92,46.13
1649821800000,46.349,44.616,46.309,44.16,45.933
1649822100000,46.365,44.57,46.603,44.343,46.179
1649822400000,46.226,44.637,46.613,44.066,46.253
1649822700000,45.86,44.536,46.329,43.52,46.069
1649823000000,45.636,44.299,46.306,43.63,46.1
1649823300000,45.503,44.053,46.213,43.983,46.358
1649823600000,45.489,44.036,46.263,43.69,46.593
1649823900000,45.436,43.95,46.196,43.613,46.289
1649824200000,45.453,44.073,46.506,43.603,46.269
1649824500000,45.396,44.189,46.526,43.962,46.083
1649824800000,45.336,44.353,46.65,43.95,46.263
1649825100000,45.368,44.48,46.686,43.976,46.579
1649825400000,45.46,44.551,46.74,43.953,46.58
1649825700000,45.32,44.429,46.389,43.706,46.643
1649826000000,45.18,44.36,46.286,43.759,46.63
1649826300000,44.973,44.123,46.376,43.693,46.624
1649826600000,44.893,43.753,46.25,43.666,46.556
1649826900000,44.773,43.186,46.163,43.403,46.619
1649827200000,44.606,43.156,46.023,43.248,46.503
1649827500000,44.916,43.126,46.206,43.499,46.49
1649827800000,44.986,43.173,46.216,43.386,46.426
1649828100000,44.757,43.323,46.55,43.57,46.383
1649828400000,44.81,43.617,46.699,43.51,46.553
