timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649806800000,275.896,326.8,324.333,320.2,350.733
1649807100000,270.766,322.379,319.733,312.933,322.566
1649807400000,273.766,323.5,320.3,314.133,302.533
1649807700000,275.6,322.4,323.586,318.033,290.933
1649808000000,276.6,323.866,325.4,319.9,275.851
1649808300000,276.133,324.2,325.433,319.533,261.8
1649808600000,275,324.433,323.966,318.666,255.533
1649808900000,276.4,322.6,324.666,314.31,244.433
1649809200000,269.766,321.9,322.233,314.4,234.233
1649809500000,265.3,318.133,314.566,309.266,229.333
1649809800000,258.448,311.5,310.033,303.7,210.133
1649810100000,254.833,304,305.3,296.133,202.533
1649810400000,256.533,302.4,301.433,295.533,193.333
1649810700000,254.466,299.1,300.137,295.266,188.466
1649811000000,256.533,302.4,303.666,292.833,184.033
1649811300000,257.566,304.1,305.2,299.137,178.827
1649811600000,260.466,304.766,305.666,295.827,177.433
1649811900000,267.5,309.966,308.233,296.896,187.2
1649812200000,259.31,305.793,309.758,296.724,170.793
1649812500000,259.3,300.733,306.8,294.466,167.7
1649812800000,261.866,298.966,310.8,289.633,166.566
1649813100000,257.793,296.5,315.166,283.333,165.266
1649813400000,256.833,295.103,313.266,282.033,164.333
1649813700000,255.733,295.3,309.866,283.066,160.766
1649814000000,255.033,291.933,307.448,278.633,158.9
1649814300000,252.233,289.833,304.3,275.6,158.034
1649814600000,254.033,296.366,303.8,276.533,157.766
1649814900000,254.533,299.6,303.133,286.482,160.066
1649815200000,256.3,302.933,303.6,289.566,156.066
1649815500000,252.862,305,297.233,288.8,157.433
1649815800000,244.448,301.366,296.6,287.466,154.433
1649816100000,245.965,298.074,294.966,285.9,150.8
1649816400000,243.241,297.37,295.655,282.31,148.689
1649816700000,243.3,295.551,292.066,282.333,146.7
1649817000000,241.4,294.833,292.689,279.433,146.4
1649817300000,240.866,291.7,289.966,274.8,145.482
1649817600000,243.466,290.433,295,271.933,143.033
1649817900000,249,295.166,300.133,276.733,142.633
1649818200000,251.4,295.6,299.966,284.62,143.566
1649818500000,254.7,296.5,302.033,290.233,140.7
1649818800000,254.068,299.233,303.346,287.066,138
1649819100000,256.5,298.655,303,288.2,137.833
1649819400000,252.633,295.166,301.366,285.966,129.966
1649819700000,252.866,293.7,305.413,283.566,128.733
1649820000000,249.533,293.233,300.766,284.866,121.533
1649820300000,250.166,289.933,299.033,285.466,117.896
1649820600000,249.366,288.766,307.379,282.733,116.379
1649820900000,250.966,287.8,314.566,285.7,115.866
1649821200000,253.233,286,302.433,279.931,112.1
1649821500000,252.633,287.066,306.966,279.7,109.2
1649821800000,251.133,283.8,308.533,283.166,109.333
1649822100000,252.862,286.233,305.6,275.866,107.133
1649822400000,251.6,287.724,302.266,279.666,105.633
1649822700000,250.6,289.266,304.5,286.433,108.2
1649823000000,254.633,290.766,307.379,291.766,105.633
1649823300000,256.1,294.166,308.466,287.3,108.586
1649823600000,265.533,292.933,321.5,291.033,106.3
1649823900000,261.033,294.333,315.866,285.1,105.5
1649824200000,253.333,292.966,301.9,285.931,104.966
1649824500000,251.6,287.066,303.033,279.034,104.766
1649824800000,250.933,283.566,306.533,276.866,102.466
1649825100000,246.931,280.966,299.866,276.6,102.033
1649825400000,245.066,284.689,319.033,276.633,103.233
1649825700000,246,285.633,327.2,278.733,100.066
1649826000000,250.2,291.433,313.241,282.033,99.266
1649826300000,253.633,290.933,308.933,281.266,101.275
1649826600000,253.233,289.166,308.633,279.4,100.466
1649826900000,251.133,293.733,296.166,283.1,99.066
1649827200000,249.7,299.866,291.266,282.344,99.933
1649827500000,247.466,300.1,291.766,278.4,98.866
1649827800000,248,296.266,287.966,280.366,99.333
1649828100000,249.076,291.533,281.333,275.233,100.233
1649828400000,243.482,289.827,276.866,274.7,99.366
1649828700000,244.033,284.233,276.833,271.933,99.033
1649829000000,243.1,278.133,280.827,266.666,97.166
1649829300000,242,280.033,284.2,273.166,96.517
1649829600000,240.655,279.724,285.533,271.4,95.266
1649829900000,246.666,280.766,277.166,273,96.266
1649830200000,245.566,283.6,277.5,272.965,95.9
1649830500000,245.733,279.666,276.6,272.933,94.533
1649830800000,244.533,281.366,276.633,269.866,93.566
1649831100000,243.333,277.866,277.366,273.566,96.666
1649831400000,241.62,277.4,276.185,268.466,93.533
1649831700000,233.766,273.724,270.033,266.7,93.6
1649832000000,229.5,270.666,268.758,260.5,91.433
1649832300000,227.5,263.733,269.533,257.033,87.9
1649832600000,223.8,261.633,264.866,250.4,88.965
1649832900000,222.133,262.466,266.9,252.033,89.766
1649833200000,219.733,262,270.733,251.344,88.733
1649833500000,204.166,256.133,245.033,251.9,72.206
1649833800000,202.166,247.666,235.1,235.9,67.6
1649834100000,197.933,241.9,232.466,237.3,65.793
1649834400000,192.103,236.666,239.966,233.466,61.433
1649834700000,177.466,229.448,203.7,222.433,53.766
1649835000000,145.166,205.333,159.733,196.633,32.533
1649835300000,128.433,166.266,135.482,166.366,25.966
1649835600000,121,149.766,126.766,150.166,25.413
1649835900000,114.566,140.266,122.3,143.6,25.266
1649836200000,123.266,138.3,133.633,139.833,33.266
1649836500000,127.033,146.533,143.1,150.793,32.5
1649836800000,125.6,146.3,140.466,150.08,28.9
1649837100000,116.103,140.966,133.066,143.2,25.266
1649837400000,111.066,130.933,124.8,135.933,24.9
1649837700000,107.8,126.517,121.533,129.699,27
1649838000000,108.766,123.733,121.689,133.206,27.966
1649838300000,110.2,125.566,124.4,132.666,30.833
1649838600000,111.666,125.566,125.866,132,32.413
1649838900000,114.233,125.533,127.933,130.633,32.366
1649839200000,112.933,127.433,128.566,133.7,33.633
1649839500000,110.6,127.6,125.7,132.793,33.466
1649839800000,115.3,128.6,129.466,134.933,38.866
1649840100000,115.1,130.699,131.966,137.533,76.4
1649840400000,115.275,130.066,128.966,135.666,30.266
1649840700000,106.777,125,121.566,128.633,27.633
1649841000000,101.103,119.1,112.066,125.066,26.566
1649841300000,101.333,115.461,109.083,122.916,30.583
1649841600000,111.4,118.2,126.263,124.05,39.789
1649841900000,125.666,131.366,130.6,137.133,63.466
1649842200000,131.7,135.666,149.133,147.8,38.433
1649842500000,122.233,133.2,143.466,143.172,37.5
1649842800000,131.033,133.333,147.933,139.066,44.766
1649843100000,140.1,144.233,155.4,147.533,65.2
